Country,Deaths to 5/1/21,Deaths Ratio by population,Vaccine Type Count,Reported Full Vacs,full Vac by population,Code,2019 Population,2019 GDP,percapita
Tanzania,21,0.0000362,,0,0,TZA,58005463,63177068175,1089.157209
Thailand,224,0.0003217,2,892245,1.281490186,THA,69625582,543549000000,7806.742642
Timor-Leste,3,0.0002320,1,0,0,TLS,1293119,2017924900,1560.509822
Togo,123,0.0015218,1,0,0,TGO,8082366,5490272413,679.290249
Trinidad and Tobago,171,0.0122583,1,1179,0.084517765,TTO,1394973,24269714810,17397.98176
Tunisia,10808,0.0924178,3,205900,1.760623748,TUN,11694719,38796687568,3317.453593
Turkey,40504,0.0485487,2,11455389,13.73060274,TUR,83429615,761425000000,9126.55536
Turks and Caicos Islands,17,0.0445131,,10000,26.18417952,TCA,38191,1197415000,31353.32932
Uganda,342,0.0007725,1,0,0,UGA,44269594,35165157017,794.3410779
Ukraine,46281,0.1042713,3,48070,0.108301976,UKR,44385155,153781000000,3464.694446
United Arab Emirates,1591,0.0162837,5,3836521,39.26625672,ARE,9770529,421142000000,43103.29564
United Kingdom,127612,0.1909376,3,20870453,31.22710975,GBR,66834405,2829110000000,42330.14418
United States,576722,0.1757016,3,125453423,38.22008448,USA,328239523,21433200000000,65297.4383
Uruguay,2669,0.0771001,3,961943,27.78789474,URY,3461734,56045912953,16190.12696
Uzbekistan,650,0.0019356,3,286317,0.852624949,UZB,33580650,57921286440,1724.841134
Vanuatu,1,0.0003335,,0,0,VUT,299882,934239974,3115.35862
Venezuela,2155,0.0075572,1,0,0,VEN,28515829,0,0
Vietnam,35,0.0000363,1,28852,0.029910191,VNM,96462106,261921000000,2715.273498
West Bank and Gaza,3249,0.0693445,3,196153,4.186556865,PSE,4685306,0,0
Yemen,1229,0.0042144,0,0,0,YEM,29161922,22581081994,774.3344898
Zambia,1251,0.0070041,1,0,0,ZMB,17861030,23309773923,1305.063254
Zimbabwe,1568,0.0107064,1,239128,1.63277814,ZWE,14645468,21440758800,1463.98591
American Samoa,0,0.0000000,0,0,0,ASM,55312,0,0
British Virgin Islands,0,0.0000000,0,0,0,VGB,30030,0,0
Channel Islands,0,0.0000000,0,0,0,CHI,172259,0,0
Faroe Islands,0,0.0000000,2,7824,16.07296931,FRO,48678,0,0
Guam,0,0.0000000,0,0,0,GUM,167294,0,0
Kiribati,0,0.0000000,0,0,0,KIR,117606,194647202,1655.078839
"Macao SAR, China",0,0.0000000,2,50723,7.919961901,MAC,640445,53859116536,84096.39631
Nauru,0,0.0000000,1,0,0,NRU,12581,118223430,9396.981965
New Caledonia,0,0.0000000,1,35630,12.38012509,NCL,287800,0,0
Northern Mariana Islands,0,0.0000000,0,0,0,MNP,57216,0,0
Palau,0,0.0000000,0,0,0,PLW,18008,268354919,14901.98353
Puerto Rico,0,0.0000000,0,0,0,PRI,3193694,104989000000,32873.84452
Tonga,0,0.0000000,1,1349,1.290983214,TON,104494,512350059,4903.152903
Turkmenistan,0,0.0000000,0,9753,0.164134196,TKM,5942089,0,0
Tuvalu,0,0.0000000,0,0,0,TUV,11646,47271463,4059.029996
Virgin Islands (U.S.),0,0.0000000,0,0,0,VIR,106631,0,0
